set_name	color_class	genes	match_rule	matched_genes	matched_gene_count	component	dominant_module	source_corpus	paper_key	cell_type	normalized_cell_type	n_markers	marker_names
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0233_10.1038_s41590-025-02241-4_110ace5bba	CD4 + AND CD8 + T RM CELL	CD 4 AND CD 8 T RM CELL	5	TCF7;ITGA6;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0405_10.1016_j.ccell.2021.03.007_50f32173d6	CD4 + NAÏVE	CD 4 NAIVE	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD4 NAÏVE BLOOD	CD 4 NAIVE BLOOD	3	CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	CD4+ MEMORY CELL	CD 4 MEMORY CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2			biorxiv	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	CD4+ T CELL	CD 4 T CELL	7	CD4;CCR7;LEF1;MAL;AQP3;TSHZ2;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2			biorxiv	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CD4+ T CELL	CD 4 T CELL	28	IL32;TCF7;LAG3;CD69;GZMK;ITGA4;CD2;DUSP1;CXCR4;CCR7;LEF1;KLRG1;CD27;GZMA;ITGB1;DUSP2;CCR5;EOMES;HCST;FOS;HOPX;JUN;TIGIT;LCK;CXCR3;PDCD1;SELL;CCL5
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2			biorxiv	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	CD4+ TEM	CD 4 TEM	8	GZMB;NKG7;IFNG;CCR7;IL7R;PRF1;SELL;TNF
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.9	CD 4 9	7	TCF7;CCR7;LEF1;TIGIT;PDCD1;SELL;TOX
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_1	CD 4 1	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD4_3	CD 4 3	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0501_10.1126_sciimmunol.abb8786_1f1edec8bd	CD8 NAÏVE BLOOD	CD 8 NAIVE BLOOD	3	CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0354_10.1172_jci128475_002a5124c6	CD8+ T CELL	CD 8 T CELL	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	biorxiv	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.2	CD 8 2	5	TCF7;GZMK;CCR7;LEF1;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0215_10.1038_s42003-020-01625-6_cc9e14f4ea	CD8_4	CD 8 4	3	TCF7;CCR7;SELL
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	CCR7; SELL	2	1.0	Naive/memory	hca	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	CENTRAL MEMORY T CELL	CENTRAL MEMORY T CELL	3	TCF7;CCR7;SELL
