component	source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	n_markers	marker_names	marker_ids	dominant_module
1	biorxiv	1e500b21-6c04-1014-adde-c104b14bbdad	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL	CEFX SPECIFIC BRAIN METASTASIS INFILTRATING PD 1 CD 8 T CELL	3	TCF7;IL7R;TOX	ENSG00000081059;ENSG00000168685;ENSG00000198846	Naive/memory
1	biorxiv	1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	NAÏVE T CELL	NAIVE T CELL	4	TCF7;CCR7;LEF1;SELL	ENSG00000081059;ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	biorxiv	750a2ba6-6eaa-1014-b156-e23e824a62e0	biorxiv:750a2ba6-6eaa-1014-b156-e23e824a62e0	NAIVE T CELLS OR TCMS	NAIVE T CELLS OR TCMS	4	TCF7;CCR7;IL7R;SELL	ENSG00000081059;ENSG00000126353;ENSG00000168685;ENSG00000188404	Naive/memory
1	biorxiv	96c0ca44-7598-1014-bd6e-c97aae1f298a	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TCM	TCM	4	TCF7;CCR7;LEF1;SELL	ENSG00000081059;ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	biorxiv	96c0ca44-7598-1014-bd6e-c97aae1f298a	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TN	TN	4	TCF7;CCR7;LEF1;SELL	ENSG00000081059;ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	biorxiv	9ca649fd-6cf8-1014-8427-cac0001a663e	biorxiv:9ca649fd-6cf8-1014-8427-cac0001a663e	MEMORY CD4+ T CELL	MEMORY CD 4 T CELL	3	CCR7;IL7R;S100A4	ENSG00000126353;ENSG00000168685;ENSG00000196154	Naive/memory
1	biorxiv	ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	biorxiv:ae5f009e-6d7a-1014-8ed6-cd1c0d2e0ada	CSF-UNEXPANDED T CELL	CSF UNEXPANDED T CELL	6	TCF7;CCR7;LEF1;ITGB1;IL7R;SELL	ENSG00000081059;ENSG00000126353;ENSG00000138795;ENSG00000150093;ENSG00000168685;ENSG00000188404	Naive/memory
1	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD4.9	CD 4 9	7	TCF7;CCR7;LEF1;TIGIT;PDCD1;SELL;TOX	ENSG00000081059;ENSG00000126353;ENSG00000138795;ENSG00000181847;ENSG00000188389;ENSG00000188404;ENSG00000198846	Naive/memory
1	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD8.2	CD 8 2	5	TCF7;GZMK;CCR7;LEF1;SELL	ENSG00000081059;ENSG00000113088;ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	TREG.1	TREG 1	4	TCF7;CCR7;LEF1;SELL	ENSG00000081059;ENSG00000126353;ENSG00000138795;ENSG00000188404	Naive/memory
1	biorxiv	e3312584-7421-1014-b0a7-823d4471ccf1	biorxiv:e3312584-7421-1014-b0a7-823d4471ccf1	NAÏVE T CELL	NAIVE T CELL	6	CD4;TCF7;CCR7;IL7R;SELL;LTB	ENSG00000010610;ENSG00000081059;ENSG00000126353;ENSG00000168685;ENSG00000188404;ENSG00000204487	Naive/memory
1	hca	0099_10.1126_sciimmunol.abl9165_5f9974d5f2	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	TCM	TCM	4	CCR7;KLF2;CD3D;SELL	ENSG00000126353;ENSG00000127528;ENSG00000167286;ENSG00000188404	Naive/memory
1	hca	0123_10.1371_journal.pone.0267704_5a8157f0f3	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	CENTRAL MEMORY T CELL	CENTRAL MEMORY T CELL	3	TCF7;CCR7;SELL	ENSG00000081059;ENSG00000126353;ENSG00000188404	Naive/memory
