query	input_symbols	resolved_gene_ids	method	rank	score	profile_id	label	paper_title	year	doi	profile_genes
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	gene SVD + ridge to MiniLM text	1	0.8336089849472046	2270	TREG	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024	10.1101/2024.04.15.589544	FOXP3, CTLA4, ICOS, BATF
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	gene SVD + ridge to MiniLM text	2	0.8197981119155884	3469	CD4.4	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025	10.1101/2024.12.31.630523	FOXP3, IKZF2, IL2RA, CTLA4
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	gene SVD + ridge to MiniLM text	3	0.8026098012924194	208	CD4+ REGULATORY T CELL (TREG)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	FOXP3, CTLA4
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	gene SVD + ridge to MiniLM text	4	0.7837278842926025	2639	TREG	Massively parallel single-cell chromatin landscapes of human immune cell development and intratumoral T cell exhaustion	2019	10.1101/610550	FOXP3, CTLA4
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	gene SVD + ridge to MiniLM text	5	0.7824686169624329	3499	TREG.1	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025	10.1101/2024.12.31.630523	LEF1, SELL, CCR7, TCF7
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	raw marker Jaccard neighbor	1	0.75	3469	CD4.4	Acquisition of discrete immune suppressive barriers contributes to the initiation and progression of preinvasive to invasive human lung cancer	2025	10.1101/2024.12.31.630523	FOXP3, IKZF2, IL2RA, CTLA4
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	raw marker Jaccard neighbor	2	0.6666666865348816	3816	CD4T_FOXP3	Single-cell transcriptomics reveals immunosuppressive microenvironment and highlights stumor-promoting macrophage cells in Glioblastoma	2024	10.1101/2024.05.15.594316	FOXP3, CTLA4, TIGHT
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	raw marker Jaccard neighbor	3	0.6666666865348816	2639	TREG	Massively parallel single-cell chromatin landscapes of human immune cell development and intratumoral T cell exhaustion	2019	10.1101/610550	FOXP3, CTLA4
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	raw marker Jaccard neighbor	4	0.6666666865348816	2410	CD4 GLYCOLIPID-SPECIFIC T CELL	CD4 and CD8 co-receptors modulate functional avidity of CD1b-restricted T cells	2020	10.1101/2020.10.17.332072	CTLA4, FOXP3
treg_core	FOXP3, IL2RA, CTLA4	ENSG00000049768, ENSG00000134460, ENSG00000163599	raw marker Jaccard neighbor	5	0.6666666865348816	208	CD4+ REGULATORY T CELL (TREG)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	FOXP3, CTLA4
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	gene SVD + ridge to MiniLM text	1	0.8233531713485718	213	CD8+ EXHAUSTED T CELL (TEXH)	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	PDCD1, LAG3, HAVCR2
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	gene SVD + ridge to MiniLM text	2	0.8182790279388428	214	CD8+ PROLIFERATING EXHAUSTED T CELL	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	2025	10.1101/2025.11.27.690370	HAVCR2, MKI67, TOP2A
exhaustion_checkpoint	PDCD1, HAVCR2, LAG3	ENSG00000188389, ENSG00000135077, ENSG00000089692	gene SVD + ridge to MiniLM text	3	0.8116806149482727	3463	EXHAUSTION-LIKE CD8+ CAR-T CELL	Identifying Distinct Molecular Response of CAR-T cells to Solid Tumors by Synthetic Single-Cell Transcriptomic Analyses	2025	10.1101/2025.09.17.676755	TNFRSF9, CCL3, TIM3, HAVCR2, TIGIT, CTLA4
