split_seed	direction	method	n_eval	mean_recall_at_true_gene_count	median_recall_at_true_gene_count	mean_recall_at_10	mean_precision_at_10	any_hit_at_true_gene_count	top1_exact_label	top1_exact_or_partial_label	top5_exact_label	top5_exact_or_partial_label	mean_top1_marker_jaccard
11	text_to_genes	MiniLM text embedding + ridge	370	0.1434978272746815	0.0	0.24271689440679212	0.09	0.4					
11	text_to_genes	TF-IDF text + ridge	370	0.2397029878400857	0.17028985507246375	0.40554376616090837	0.1472972972972973	0.5702702702702702					
11	text_to_genes	training gene popularity	370	0.021004886687380965	0.0	0.054533096901517954	0.019459459459459462	0.0945945945945946					
11	genes_to_text	gene SVD + ridge to MiniLM text	370						0.021621621621621623	0.15135135135135136	0.062162162162162166	0.2810810810810811	0.13603768299350383
11	genes_to_text	raw marker Jaccard neighbor	370						0.043243243243243246	0.16486486486486487	0.1	0.34594594594594597	0.39643225451628333
11	genes_to_text	random train profile	370						0.002702702702702703	0.010810810810810811	0.005405405405405406	0.062162162162162166	0.003546407451072765
17	text_to_genes	MiniLM text embedding + ridge	332	0.1402936091587757	0.0	0.26298183747244697	0.08765060240963854	0.3644578313253012					
17	text_to_genes	TF-IDF text + ridge	332	0.2696122109968673	0.25	0.43682841114184134	0.1536144578313253	0.5481927710843374					
17	text_to_genes	training gene popularity	332	0.02011919738266301	0.0	0.06275947947634695	0.021084337349397592	0.09337349397590361					
17	genes_to_text	gene SVD + ridge to MiniLM text	332						0.018072289156626505	0.1927710843373494	0.06325301204819277	0.34036144578313254	0.1441730878901021
17	genes_to_text	raw marker Jaccard neighbor	332						0.04819277108433735	0.21084337349397592	0.09939759036144578	0.3644578313253012	0.41098963347917605
17	genes_to_text	random train profile	332						0.0030120481927710845	0.009036144578313253	0.009036144578313253	0.0783132530120482	0.0026104417670682733
23	text_to_genes	MiniLM text embedding + ridge	378	0.12143873244940867	0.0	0.2263176390891512	0.07804232804232804	0.3544973544973545					
23	text_to_genes	TF-IDF text + ridge	378	0.22185199754552054	0.1464285714285714	0.38244350229675056	0.1328042328042328	0.5370370370370371					
23	text_to_genes	training gene popularity	378	0.007994436329673933	0.0	0.03655116766418305	0.012962962962962964	0.04497354497354497					
23	genes_to_text	gene SVD + ridge to MiniLM text	378						0.026455026455026454	0.1349206349206349	0.082010582010582	0.25925925925925924	0.1306768368005381
23	genes_to_text	raw marker Jaccard neighbor	378						0.05555555555555555	0.17989417989417988	0.14285714285714285	0.34656084656084657	0.38209605249913553
23	genes_to_text	random train profile	378						0.0026455026455026454	0.037037037037037035	0.005291005291005291	0.09259259259259259	0.001689474892089271
