query	rank	gene_symbol	gene_id	score
regulatory_t_cell	1	FOXP3	ENSG00000049768	0.5798511244554403
regulatory_t_cell	2	CTLA4	ENSG00000163599	0.561334514891828
regulatory_t_cell	3	CD4	ENSG00000010610	0.29338657040417915
regulatory_t_cell	4	IL7R	ENSG00000168685	0.23708279882223893
regulatory_t_cell	5	TIGIT	ENSG00000181847	0.21010941373275088
regulatory_t_cell	6	CCR7	ENSG00000126353	0.1904132490329004
regulatory_t_cell	7	CD28	ENSG00000178562	0.1724076253312139
regulatory_t_cell	8	IL2RA	ENSG00000134460	0.15776750457511524
regulatory_t_cell	9	LEF1	ENSG00000138795	0.15432524478175166
regulatory_t_cell	10	CD8A	ENSG00000153563	0.1515963135062638
regulatory_t_cell	11	CD96	ENSG00000153283	0.15077028072854984
regulatory_t_cell	12	CD25	ENSG00000172183	0.14366681269155132
regulatory_t_cell	13	CD2	ENSG00000116824	0.1373676839514431
regulatory_t_cell	14	BATF	ENSG00000156127	0.1304207302795267
regulatory_t_cell	15	CD3D	ENSG00000167286	0.12419858224726156
exhausted_cd8_t_cell	1	PDCD1	ENSG00000188389	0.5044800946391377
exhausted_cd8_t_cell	2	HAVCR2	ENSG00000135077	0.3650772555834933
exhausted_cd8_t_cell	3	CD8A	ENSG00000153563	0.33259833360120983
exhausted_cd8_t_cell	4	TOX	ENSG00000198846	0.2802666706859039
exhausted_cd8_t_cell	5	LAG3	ENSG00000089692	0.22028515547379507
exhausted_cd8_t_cell	6	CXCL13	ENSG00000156234	0.19496132422996085
exhausted_cd8_t_cell	7	CTLA4	ENSG00000163599	0.19422620220073195
exhausted_cd8_t_cell	8	PRF1	ENSG00000180644	0.1781911693457926
exhausted_cd8_t_cell	9	TIGIT	ENSG00000181847	0.16992828839103807
exhausted_cd8_t_cell	10	CXCR3	ENSG00000186810	0.15351877155568186
exhausted_cd8_t_cell	11	IFNG	ENSG00000111537	0.14628273394511646
exhausted_cd8_t_cell	12	TCF7	ENSG00000081059	0.14493168151727018
exhausted_cd8_t_cell	13	GNLY	ENSG00000115523	0.14183151863351875
exhausted_cd8_t_cell	14	CD69	ENSG00000110848	0.13468440824672887
exhausted_cd8_t_cell	15	LEF1	ENSG00000138795	0.13395722451572964
classical_monocyte	1	S100A8	ENSG00000143546	0.7206886304649048
classical_monocyte	2	S100A9	ENSG00000163220	0.718300600497121
classical_monocyte	3	CD14	ENSG00000170458	0.6070164139791974
classical_monocyte	4	LYZ	ENSG00000090382	0.2910203604979645
classical_monocyte	5	VCAN	ENSG00000038427	0.19694562144133151
classical_monocyte	6	S100A12	ENSG00000163221	0.15848130875625072
classical_monocyte	7	CD16	ENSG00000203747	0.13420847191009305
classical_monocyte	8	CCL2	ENSG00000108691	0.0869237467372517
classical_monocyte	9	MMP9	ENSG00000100985	0.0842391066850986
classical_monocyte	10	FCN1	ENSG00000085265	0.0804714844576119
classical_monocyte	11	IL6	ENSG00000136244	0.0665700999959022
classical_monocyte	12	PTPRC	ENSG00000081237	0.0647386829886592
classical_monocyte	13	F13A1	ENSG00000124491	0.06021081678929627
classical_monocyte	14	KRT16	ENSG00000186832	0.05818696006806919
classical_monocyte	15	CCL8	ENSG00000108700	0.056824844752597956
macrophage	1	C1QA	ENSG00000173372	0.25930719182254247
macrophage	2	C1QB	ENSG00000173369	0.2525514046592272
macrophage	3	APOE	ENSG00000130203	0.23802333162748615
macrophage	4	LYZ	ENSG00000090382	0.2037792694418621
macrophage	5	CD68	ENSG00000129226	0.17348503801002577
macrophage	6	C1QC	ENSG00000159189	0.1522270383499927
macrophage	7	SPP1	ENSG00000154832	0.09892234496578536
macrophage	8	CD74	ENSG00000019582	0.09675919644458304
macrophage	9	MRC1	ENSG00000260314	0.09334076221409915
macrophage	10	AIF1	ENSG00000204472	0.09187025751732263
macrophage	11	CD14	ENSG00000170458	0.08630879933298592
macrophage	12	CD163	ENSG00000177575	0.07694690134111701
macrophage	13	TREM2	ENSG00000095970	0.07335605463239378
macrophage	14	CXCR6	ENSG00000172215	0.06964840756669952
macrophage	15	P2RY12	ENSG00000169313	0.06672363277499527
b_cell	1	MS4A1	ENSG00000156738	0.5216346235171444
b_cell	2	CD79A	ENSG00000105369	0.4277864928810066
b_cell	3	CD19	ENSG00000177455	0.3189995362758254
b_cell	4	CD79B	ENSG00000007312	0.24534727064582745
b_cell	5	CD38	ENSG00000004468	0.09589841822421483
b_cell	6	PTPRC	ENSG00000081237	0.06866717675999065
b_cell	7	JCHAIN	ENSG00000132465	0.06280013791903141
b_cell	8	PAX5	ENSG00000196092	0.061402851974020546
b_cell	9	IGLL1	ENSG00000128322	0.0491340152470581
b_cell	10	BANK1	ENSG00000153064	0.047858125824726594
b_cell	11	CD24	ENSG00000272398	0.045329927719947566
b_cell	12	IGKC	ENSG00000211592	0.04498765087960472
b_cell	13	RHOH	ENSG00000168421	0.04342761629475017
b_cell	14	FKBP51	ENSG00000096060	0.04342761629475017
b_cell	15	S100A9	ENSG00000163220	0.03968151057739055
