resource	comparison	marker_jaccard
LLMarkers	Same label	0.09523809523809523
LLMarkers	Same label	0.09523809523809523
LLMarkers	Same label	0.8823529411764706
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.14285714285714285
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.1
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.6
LLMarkers	Same label	0.5
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.5
LLMarkers	Same label	0.6
LLMarkers	Same label	0.0
LLMarkers	Same label	0.7142857142857143
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.14285714285714285
LLMarkers	Same label	0.0
LLMarkers	Same label	0.2
LLMarkers	Same label	0.4
LLMarkers	Same label	0.2
LLMarkers	Same label	0.2222222222222222
LLMarkers	Same label	0.4
LLMarkers	Same label	0.2
LLMarkers	Same label	0.2222222222222222
LLMarkers	Same label	0.1875
LLMarkers	Same label	0.13043478260869565
LLMarkers	Same label	0.09090909090909091
LLMarkers	Same label	0.07407407407407407
LLMarkers	Same label	0.07692307692307693
LLMarkers	Same label	0.125
LLMarkers	Same label	0.08333333333333333
LLMarkers	Same label	0.07142857142857142
LLMarkers	Same label	0.15384615384615385
LLMarkers	Same label	0.17647058823529413
LLMarkers	Same label	0.1935483870967742
LLMarkers	Same label	0.2222222222222222
LLMarkers	Same label	0.15
LLMarkers	Same label	0.3333333333333333
LLMarkers	Same label	0.13636363636363635
LLMarkers	Same label	0.0
LLMarkers	Same label	0.42857142857142855
LLMarkers	Same label	0.14285714285714285
LLMarkers	Same label	0.5
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.15384615384615385
LLMarkers	Same label	0.2
LLMarkers	Same label	0.2
LLMarkers	Same label	0.13333333333333333
LLMarkers	Same label	0.15384615384615385
LLMarkers	Same label	0.08333333333333333
LLMarkers	Same label	0.07692307692307693
LLMarkers	Same label	0.125
LLMarkers	Same label	0.125
LLMarkers	Same label	0.07692307692307693
LLMarkers	Same label	0.3333333333333333
LLMarkers	Same label	0.0
LLMarkers	Same label	0.1
LLMarkers	Same label	0.5
LLMarkers	Same label	0.2222222222222222
LLMarkers	Same label	0.125
LLMarkers	Same label	0.0
LLMarkers	Same label	0.14285714285714285
LLMarkers	Same label	0.2222222222222222
LLMarkers	Same label	0.125
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.14285714285714285
LLMarkers	Same label	0.07692307692307693
LLMarkers	Same label	0.0
LLMarkers	Same label	0.08333333333333333
LLMarkers	Same label	0.0
LLMarkers	Same label	0.1
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.07142857142857142
LLMarkers	Same label	0.1111111111111111
LLMarkers	Same label	0.0
LLMarkers	Same label	0.09090909090909091
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0625
LLMarkers	Same label	0.09090909090909091
LLMarkers	Same label	0.18181818181818182
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.2
LLMarkers	Same label	0.125
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.0
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.125
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.5
LLMarkers	Same label	0.125
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.125
LLMarkers	Same label	0.16666666666666666
LLMarkers	Same label	0.0
LLMarkers	Same label	0.25
LLMarkers	Same label	0.0
LLMarkers	Same label	0.1111111111111111
LLMarkers	Same label	0.09090909090909091
LLMarkers	Same label	0.0
LLMarkers	Same label	0.3333333333333333
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
LLMarkers	Same label	0.42857142857142855
LLMarkers	Same label	0.0
LLMarkers	Same label	0.0
