file_name	file_uri	file_id	file_type	data_id	group_label	group_name	group_id
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	xlsx	Supplementary Table 1#ASPC markers	hASPC1	ADIPOSE STEM AND PROGENITOR CELL 1	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	xlsx	Supplementary Table 1#ASPC markers	hASPC2	ADIPOSE STEM AND PROGENITOR CELL 2	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	xlsx	Supplementary Table 1#ASPC markers	hASPC3	ADIPOSE STEM AND PROGENITOR CELL 3	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	xlsx	Supplementary Table 1#ASPC markers	hASPC4	ADIPOSE STEM AND PROGENITOR CELL 4	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	xlsx	Supplementary Table 1#ASPC markers	hASPC5	ADIPOSE STEM AND PROGENITOR CELL 5	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	xlsx	Supplementary Table 1#ASPC markers	hASPC6	ADIPOSE STEM AND PROGENITOR CELL 6	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAd1	ADIPOCYTE 1	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAD2	ADIPOCYTE 2	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAd3	ADIPOCYTE 3	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAd4	ADIPOCYTE 4	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAd5	ADIPOCYTE 5	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAd6	ADIPOCYTE 6	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	xlsx	Supplementary Table 1#adipocyte markers	hAd7	ADIPOCYTE 7	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	adipocyte	ADIPOCYTE	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	ASPC	ADIPOSE STEM AND PROGENITOR CELL	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	b_cell	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	dendritic_cell	DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	endometrium	ENDOMETRIUM	ENDOMETRIUM
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	endothelial	ENDOTHELIUM	ENDOTHELIUM
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	LEC	LYMPHATIC ENDOTHELIUM	http://purl.obolibrary.org/obo/CL_0002138
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	macrophage	MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	mast_cell	MAST CELL	http://purl.obolibrary.org/obo/CL_0000097
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	mesothelium	MESOTHELIUM	MESOTHELIUM
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	monocyte	MONOCYTE	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	nk_cell	NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_4052055
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	neutrophil	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	pericyte	PERICYTE	http://purl.obolibrary.org/obo/CL_0000669
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	xlsx	Supplementary Table 1#all markers	SMC	SMOOTH MUSCLE CELL	http://purl.obolibrary.org/obo/CL_0000192
