file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary Table 1#ASPC markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	deg	hASPC1	ADIPOSE STEM AND PROGENITOR CELL 1	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#ASPC markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	deg	hASPC2	ADIPOSE STEM AND PROGENITOR CELL 2	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#ASPC markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	deg	hASPC3	ADIPOSE STEM AND PROGENITOR CELL 3	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#ASPC markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	deg	hASPC4	ADIPOSE STEM AND PROGENITOR CELL 4	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#ASPC markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	deg	hASPC5	ADIPOSE STEM AND PROGENITOR CELL 5	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#ASPC markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#ASPC markers	deg	hASPC6	ADIPOSE STEM AND PROGENITOR CELL 6	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAd1	ADIPOCYTE 1	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAD2	ADIPOCYTE 2	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAd3	ADIPOCYTE 3	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAd4	ADIPOCYTE 4	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAd5	ADIPOCYTE 5	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAd6	ADIPOCYTE 6	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#adipocyte markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#adipocyte markers	deg	hAd7	ADIPOCYTE 7	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	adipocyte	ADIPOCYTE	http://purl.obolibrary.org/obo/CL_0000136
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	ASPC	ADIPOSE STEM AND PROGENITOR CELL	http://purl.obolibrary.org/obo/CL_0002570
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	b_cell	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	dendritic_cell	DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	endometrium	ENDOMETRIUM	ENDOMETRIUM
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	endothelial	ENDOTHELIUM	ENDOTHELIUM
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	LEC	LYMPHATIC ENDOTHELIUM	http://purl.obolibrary.org/obo/CL_0002138
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	macrophage	MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	mast_cell	MAST CELL	http://purl.obolibrary.org/obo/CL_0000097
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	mesothelium	MESOTHELIUM	MESOTHELIUM
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	monocyte	MONOCYTE	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	nk_cell	NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_4052055
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	neutrophil	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	pericyte	PERICYTE	http://purl.obolibrary.org/obo/CL_0000669
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	SMC	SMOOTH MUSCLE CELL	http://purl.obolibrary.org/obo/CL_0000192
Supplementary Table 1#all markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#all markers	deg	t_cell	T CELL	http://purl.obolibrary.org/obo/CL_0000084
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hBcell	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hASDC	ASDENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hpDC	PDENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hcDC1	DENDRITIC CELL 1	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hcDC2	DENDRITIC CELL 2	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hMac1	MACROPHAGE 1	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hMac2	MACROPHAGE 2	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hMac3	MACROPHAGE 3	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hMast	MAST CELL	http://purl.obolibrary.org/obo/CL_0000097
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hMono1	MONOCYTE 1	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hMono2	MONOCYTE 2	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hNK	NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_4052055
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hNeu	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hPlasmablast	PLASMABLAST	PLASMABLAST
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hTreg	REGULATORY T CELL	REGULATORY T CELL
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hTcell1	T CELL 1	http://purl.obolibrary.org/obo/CL_0000084
Supplementary Table 1#immune markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#immune markers	deg	hTcell2	T CELL 2	http://purl.obolibrary.org/obo/CL_0000084
Supplementary Table 1#mesothelial markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#mesothelial markers	deg	hMes1	MESOTHELIUM 1	MESOTHELIUM
Supplementary Table 1#mesothelial markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#mesothelial markers	deg	hMes2	MESOTHELIUM 2	MESOTHELIUM
Supplementary Table 1#mesothelial markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#mesothelial markers	deg	hMes3	MESOTHELIUM 3	MESOTHELIUM
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hEndoA1	ENDOTHELIUM ARTERIOLAR 1	ENDOTHELIUM ARTERIOLAR
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hEndoA2	ENDOTHELIUM ARTERIOLAR 2	ENDOTHELIUM ARTERIOLAR
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hEndoS1	ENDOTHELIUM STALK 1	ENDOTHELIUM STALK
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hEndoS2	ENDOTHELIUM STALK 2	ENDOTHELIUM STALK
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hEndoS3	ENDOTHELIUM STALK 3	ENDOTHELIUM STALK
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hEndoV	ENDOTHELIUM VENULAR	ENDOTHELIUM VENULAR
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hLEC1	LYMPHATIC ENDOTHELIUM 1	http://purl.obolibrary.org/obo/CL_0002138
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hLEC2	LYMPHATIC ENDOTHELIUM 2	http://purl.obolibrary.org/obo/CL_0002138
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hPeri	PERICYTE	http://purl.obolibrary.org/obo/CL_0000669
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hSMC1	SMOOTH MUSCLE CELLS 1	http://purl.obolibrary.org/obo/CL_0000192
Supplementary Table 1#vascular markers	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#vascular markers	deg	hSMC2	SMOOTH MUSCLE CELLS 2	http://purl.obolibrary.org/obo/CL_0000192
