file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	APC	ADIPOCYTE PRECURSOR CELL	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	B cell	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	CD8 gdT	CD8+ GAMMA DELTA T CELL	http://purl.obolibrary.org/obo/CL_0000798
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	cDC1	TYPE 1 DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	cDC2B	TYPE 2B DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Cytotoxic CD8 T	CYTOTOXIC CD8+ T CELL	http://purl.obolibrary.org/obo/CL_0000794
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Endothelial	ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000115
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	ILCs	INNATE LYMPHOID CELL	http://purl.obolibrary.org/obo/CL_0001065
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	MAIT	MUCOSAL-ASSOCIATED INVARIANT T CELL	http://purl.obolibrary.org/obo/CL_0000940
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	mNK	MATURE NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000824
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Myeloid-like	MYELOID-LIKE CELL	http://purl.obolibrary.org/obo/CL_0000763
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Naive CD4 T	NAIVE CD4+ T CELL	http://purl.obolibrary.org/obo/CL_0000624
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Naive CD8 T	NAIVE CD8+ T CELL	http://purl.obolibrary.org/obo/CL_0000625
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	ncMo	NONCLASSIC MONOCYTE	http://purl.obolibrary.org/obo/CL_0002471
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	NK-like	NATURAL KILLER-LIKE CELL	http://purl.obolibrary.org/obo/CL_0000623
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Preadipocyte	PREADIPOCYTE	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	PVM	PERIVASCULAR MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000881
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Smooth muscle	SMOOTH MUSCLE CELL	http://purl.obolibrary.org/obo/CL_0000192
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1#Cluster_Markers_CD45PosNeg	xlsx	Treg	REGULATORY T CELL	http://purl.obolibrary.org/obo/CL_0000815
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	cDC1	TYPE 1 DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	cDC2A	TYPE 2A DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	cDC2B	TYPE 2B DENDRITIC CELL	http://purl.obolibrary.org/obo/CL_0000451
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	IM	INFLAMMATORY MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000863
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	LAM	LIPID-ASSOCIATED MACROPHAGE	http://purl.obolibrary.org/obo/CL_4033086
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	Mo-1	TYPE 1 MONOCYTE	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	Mo-2	TYPE 2 MONOCYTE	http://purl.obolibrary.org/obo/CL_0000576
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	ncMo	NONCLASSIC MONOCYTE	http://purl.obolibrary.org/obo/CL_0002471
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	Neu	NEUTROPHIL	http://purl.obolibrary.org/obo/CL_0000775
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	Supplementary Table 1#Cluster_Markers_Celltype_Myeloi	xlsx	PVM	PERIVASCULAR MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000881
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	ILC1	INNATE LYMPHOID CELL 1	http://purl.obolibrary.org/obo/CL_0001065
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	ILC2	INNATE LYMPHOID CELL 2	http://purl.obolibrary.org/obo/CL_0001065
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	ILC3	INNATE LYMPHOID CELL 3	http://purl.obolibrary.org/obo/CL_0001065
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	ILCP-like	INNATE LYMPHOID PRECURSOR-LIKE CELL	http://purl.obolibrary.org/obo/CL_0001082
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	iNK	IMMATURE NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000823
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	mNK	MATURE NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000824
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	Supplementary Table 1#Cluster_Markers_Cellype_NK_ILCs	xlsx	trNK	TISSUE RESIDENT NATURAL KILLER CELL	http://purl.obolibrary.org/obo/CL_0000623
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1#DEG_Celltype_LeanvsObese	xlsx	APC	ADIPOCYTE PRECURSOR CELL	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1.xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1#DEG_Celltype_LeanvsObese	xlsx	BC	B CELL	http://purl.obolibrary.org/obo/CL_0000236
