file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	APC	ADIPOCYTE PRECURSOR CELL	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	APC	ADIPOCYTE PRECURSOR CELL	http://purl.obolibrary.org/obo/CL_0002334
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	B cell	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	BC	B CELL	http://purl.obolibrary.org/obo/CL_0000236
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	CD8 gdT	CD8+ GAMMA DELTA T CELL	http://purl.obolibrary.org/obo/CL_0000798
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	CD8gdT	CD8+ GAMMA DELTA T CELL	http://purl.obolibrary.org/obo/CL_0000798
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Cytotoxic CD8 T	CYTOTOXIC CD8+ T CELL	http://purl.obolibrary.org/obo/CL_0000794
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	cCD8T	CYTOTOXIC CD8+ T CELL	http://purl.obolibrary.org/obo/CL_0000794
Supplementary Table 1#Cluster_Markers_CD45PosNeg	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#Cluster_Markers_CD45PosNeg	deg	Endothelial	ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000115
Supplementary Table 1#DEG_Celltype_LeanvsObese	Supplementary Table 1.xlsx	xlsx	tables/Supplementary Table 1.xlsx	Supplementary Table 1#DEG_Celltype_LeanvsObese	deg	Endo	ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000115
