file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	Chondrocyte	CHONDROCYTE	http://purl.obolibrary.org/obo/CL_0000138
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	NC	CRANIAL NEURAL CREST CELL	http://purl.obolibrary.org/obo/CL_0011012
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	Endothelium	ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000066
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	Macrophage	MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	mig_NC	MIGRATORY CRANIAL NEURAL CREST CELL	http://purl.obolibrary.org/obo/CL_0000008
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	Myoblast	MYOBLAST	http://purl.obolibrary.org/obo/CL_0000056
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	NCDC	NEURAL CREST-DERIVED CELL	http://purl.obolibrary.org/obo/CL_0011012
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	Osteoprogenitor	OSTEOPROGENITOR	http://purl.obolibrary.org/obo/CL_0000062
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	PMSC1	PERICHONDRIAL MESENCHYMAL STROMAL CELL 1	http://purl.obolibrary.org/obo/CL_0000499
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	PMSC2	PERICHONDRIAL MESENCHYMAL STROMAL CELL 2	http://purl.obolibrary.org/obo/CL_0000499
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1#Degs human calvaria Fig. 6b	xlsx	Pericyte	PERICYTE	http://purl.obolibrary.org/obo/CL_0000669
