file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	Chondrocyte	CHONDROCYTE	http://purl.obolibrary.org/obo/CL_0000138
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	NC	CRANIAL NEURAL CREST CELL	http://purl.obolibrary.org/obo/CL_0011012
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	Endothelium	ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000066
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	Macrophage	MACROPHAGE	http://purl.obolibrary.org/obo/CL_0000235
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	mig_NC	MIGRATORY CRANIAL NEURAL CREST CELL	http://purl.obolibrary.org/obo/CL_0000008
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	Myoblast	MYOBLAST	http://purl.obolibrary.org/obo/CL_0000056
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	NCDC	NEURAL CREST-DERIVED CELL	http://purl.obolibrary.org/obo/CL_0011012
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	Osteoprogenitor	OSTEOPROGENITOR	http://purl.obolibrary.org/obo/CL_0000062
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	PMSC1	PERICHONDRIAL MESENCHYMAL STROMAL CELL 1	http://purl.obolibrary.org/obo/CL_0000499
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	PMSC2	PERICHONDRIAL MESENCHYMAL STROMAL CELL 2	http://purl.obolibrary.org/obo/CL_0000499
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	Pericyte	PERICYTE	http://purl.obolibrary.org/obo/CL_0000669
Supplementary Table S1#Degs human calvaria Fig. 6b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human calvaria Fig. 6b	deg	VLMC	VASCULAR LEPTOMENINGEAL CELL	http://purl.obolibrary.org/obo/CL_4023051
Supplementary Table S1#Degs human long bone Fig. S3b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human long bone Fig. S3b	deg	BMSC	BONE MARROW STROMAL CELL	http://purl.obolibrary.org/obo/CL_0010001
Supplementary Table S1#Degs human long bone Fig. S3b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human long bone Fig. S3b	deg	Chondroblast	CHONDROBLAST	http://purl.obolibrary.org/obo/CL_0000058
Supplementary Table S1#Degs human long bone Fig. S3b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human long bone Fig. S3b	deg	Chondrocyte	CHONDROCYTE	http://purl.obolibrary.org/obo/CL_0000138
Supplementary Table S1#Degs human long bone Fig. S3b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human long bone Fig. S3b	deg	eSSPC	EMBRYONIC SKELETAL STEM/PROGENITOR CELL	http://purl.obolibrary.org/obo/CL_0011026
Supplementary Table S1#Degs human long bone Fig. S3b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human long bone Fig. S3b	deg	Endothelium	ENDOTHELIAL CELL	http://purl.obolibrary.org/obo/CL_0000066
Supplementary Table S1#Degs human long bone Fig. S3b	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#Degs human long bone Fig. S3b	deg	Erythrocyte	ERYTHROCYTE	http://purl.obolibrary.org/obo/CL_0000232
