project_id	dataset_id	name	url	study_dir	cap_json	cap_json_zip_url	cap_json_zip	download_status	error
609	1412	Cross-species Spinal Cord Atlas: Cholinergic	https://celltype.info/project/609/dataset/1412	data/cell_annotation_platform/datasets/project_609_dataset_1412_cross-species-spinal-cord-atlas-cholinergic	data/cell_annotation_platform/datasets/project_609_dataset_1412_cross-species-spinal-cord-atlas-cholinergic/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_598_2__published__TyOREtgN9q-NNtTHMsu0G_1412.h5ad.json.zip	data/cell_annotation_platform/datasets/project_609_dataset_1412_cross-species-spinal-cord-atlas-cholinergic/public-anndata-project_598_2__published__TyOREtgN9q-NNtTHMsu0G_1412.h5ad.json.zip	already_extracted	
609	1409	Cross-species Spinal Cord Atlas: Glutamatergic	https://celltype.info/project/609/dataset/1409	data/cell_annotation_platform/datasets/project_609_dataset_1409_cross-species-spinal-cord-atlas-glutamatergic	data/cell_annotation_platform/datasets/project_609_dataset_1409_cross-species-spinal-cord-atlas-glutamatergic/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_598_2__published__pBGDg7mN591wGHHzIk-Mm_1409.h5ad.json.zip	data/cell_annotation_platform/datasets/project_609_dataset_1409_cross-species-spinal-cord-atlas-glutamatergic/public-anndata-project_598_2__published__pBGDg7mN591wGHHzIk-Mm_1409.h5ad.json.zip	already_extracted	
609	1410	Cross-species Spinal Cord Atlas	https://celltype.info/project/609/dataset/1410	data/cell_annotation_platform/datasets/project_609_dataset_1410_cross-species-spinal-cord-atlas	data/cell_annotation_platform/datasets/project_609_dataset_1410_cross-species-spinal-cord-atlas/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_598_2__published__W_7r4j-9Es051T_ZWz_Rd_1410.h5ad.json.zip	data/cell_annotation_platform/datasets/project_609_dataset_1410_cross-species-spinal-cord-atlas/public-anndata-project_598_2__published__W_7r4j-9Es051T_ZWz_Rd_1410.h5ad.json.zip	already_extracted	
609	1411	Cross-species Spinal Cord Atlas: Non-Neurons	https://celltype.info/project/609/dataset/1411	data/cell_annotation_platform/datasets/project_609_dataset_1411_cross-species-spinal-cord-atlas-non-neurons	data/cell_annotation_platform/datasets/project_609_dataset_1411_cross-species-spinal-cord-atlas-non-neurons/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_598_2__published__Ar2hf4TciA44t5FcFNEke_1411.h5ad.json.zip	data/cell_annotation_platform/datasets/project_609_dataset_1411_cross-species-spinal-cord-atlas-non-neurons/public-anndata-project_598_2__published__Ar2hf4TciA44t5FcFNEke_1411.h5ad.json.zip	already_extracted	
618	1438	CD45 negative cells from human liver dataset	https://celltype.info/project/618/dataset/1438	data/cell_annotation_platform/datasets/project_618_dataset_1438_cd45-negative-cells-from-human-liver-dataset	data/cell_annotation_platform/datasets/project_618_dataset_1438_cd45-negative-cells-from-human-liver-dataset/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_569_1__published__86a1pcdixxbs1w_AU12hc_1438.h5ad.json.zip	data/cell_annotation_platform/datasets/project_618_dataset_1438_cd45-negative-cells-from-human-liver-dataset/public-anndata-project_569_1__published__86a1pcdixxbs1w_AU12hc_1438.h5ad.json.zip	already_extracted	
618	1439	Lymphoid cells from human liver dataset	https://celltype.info/project/618/dataset/1439	data/cell_annotation_platform/datasets/project_618_dataset_1439_lymphoid-cells-from-human-liver-dataset	data/cell_annotation_platform/datasets/project_618_dataset_1439_lymphoid-cells-from-human-liver-dataset/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_569_1__published__Z5XtTWZw_DnodvcOvZAyz_1439.h5ad.json.zip	data/cell_annotation_platform/datasets/project_618_dataset_1439_lymphoid-cells-from-human-liver-dataset/public-anndata-project_569_1__published__Z5XtTWZw_DnodvcOvZAyz_1439.h5ad.json.zip	already_extracted	
618	1440	Myeloid cells from human liver dataset	https://celltype.info/project/618/dataset/1440	data/cell_annotation_platform/datasets/project_618_dataset_1440_myeloid-cells-from-human-liver-dataset	data/cell_annotation_platform/datasets/project_618_dataset_1440_myeloid-cells-from-human-liver-dataset/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_569_1__published__0s70XkvGftSFKbcb1pEH6_1440.h5ad.json.zip	data/cell_annotation_platform/datasets/project_618_dataset_1440_myeloid-cells-from-human-liver-dataset/public-anndata-project_569_1__published__0s70XkvGftSFKbcb1pEH6_1440.h5ad.json.zip	already_extracted	
387	816	Concerted changes in the pediatric single-cell intestinal ecosystem before and after anti-TNF blockade	https://celltype.info/project/387/dataset/816	data/cell_annotation_platform/datasets/project_387_dataset_816_concerted-changes-in-the-pediatric-single-cell-intestinal-ecosystem-before-and-a	data/cell_annotation_platform/datasets/project_387_dataset_816_concerted-changes-in-the-pediatric-single-cell-intestinal-ecosystem-before-and-a/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata_project-302_1___published__e14e2c89-b79f-47ca-8937-ace7dd9a17b9.0bbf2694-e4d6-4514-aa1e-464afb2c9d87.zheng2024GCACAPcsrcelltypeupdate.h5ad.json.zip	data/cell_annotation_platform/datasets/project_387_dataset_816_concerted-changes-in-the-pediatric-single-cell-intestinal-ecosystem-before-and-a/public-anndata_project-302_1___published__e14e2c89-b79f-47ca-8937-ace7dd9a17b9.0bbf2694-e4d6-4514-aa1e-464afb2c9d87.zheng2024GCACAPcsrcelltypeupdate.h5ad.json.zip	already_extracted	
389	825	An Atlas of Cells in the Human Tonsil	https://celltype.info/project/389/dataset/825	data/cell_annotation_platform/datasets/project_389_dataset_825_an-atlas-of-cells-in-the-human-tonsil	data/cell_annotation_platform/datasets/project_389_dataset_825_an-atlas-of-cells-in-the-human-tonsil/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata_project-324_1___published__de108c2f-4880-4f55-a595-7e9e7db6dac6.TonsilAtlasADATAtoCAPv2.h5ad.json.zip	data/cell_annotation_platform/datasets/project_389_dataset_825_an-atlas-of-cells-in-the-human-tonsil/public-anndata_project-324_1___published__de108c2f-4880-4f55-a595-7e9e7db6dac6.TonsilAtlasADATAtoCAPv2.h5ad.json.zip	already_extracted	
621	1487	snRNA-seq of human optic nerve and optic nerve head - oligodendrocytes	https://celltype.info/project/621/dataset/1487	data/cell_annotation_platform/datasets/project_621_dataset_1487_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-oligodendrocytes	data/cell_annotation_platform/datasets/project_621_dataset_1487_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-oligodendrocytes/cap.json	https://storage.googleapis.com/cap-gke-prod-anndata/public-anndata-project_619_1__published__tm8qppU3QLIniR2ieq5KZ_1487.h5ad.json.zip	data/cell_annotation_platform/datasets/project_621_dataset_1487_snrna-seq-of-human-optic-nerve-and-optic-nerve-head-oligodendrocytes/public-anndata-project_619_1__published__tm8qppU3QLIniR2ieq5KZ_1487.h5ad.json.zip	already_extracted	
