file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	AC	AMACRINE CELL	http://purl.obolibrary.org/obo/CL_0000561
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	Cone PR	CONE PHOTORECEPTOR CELL	http://purl.obolibrary.org/obo/CL_0000573
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	HC	HORIZONTAL CELL	http://purl.obolibrary.org/obo/CL_0004217
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	Mic	MICROGLIA	http://purl.obolibrary.org/obo/CL_0000129
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	MG	MÜLLER GLIAL CELL	http://purl.obolibrary.org/obo/CL_0000636
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	OFF BC	OFF BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000750
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	ON BC	ON BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000749
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	RGC	RETINAL GANGLION CELL	http://purl.obolibrary.org/obo/CL_0000740
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	Rod BC	ROD BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000751
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	xlsx	rod PR	ROD PHOTORECEPTOR CELL	http://purl.obolibrary.org/obo/CL_0000604
