file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	AC	AMACRINE CELL	http://purl.obolibrary.org/obo/CL_0000561
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	Cone PR	CONE PHOTORECEPTOR CELL	http://purl.obolibrary.org/obo/CL_0000573
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	HC	HORIZONTAL CELL	http://purl.obolibrary.org/obo/CL_0004217
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	Mic	MICROGLIA	http://purl.obolibrary.org/obo/CL_0000129
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	MG	MÜLLER GLIAL CELL	http://purl.obolibrary.org/obo/CL_0000636
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	OFF BC	OFF BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000750
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	ON BC	ON BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000749
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	RGC	RETINAL GANGLION CELL	http://purl.obolibrary.org/obo/CL_0000740
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	Rod BC	ROD BIPOLAR CELL	http://purl.obolibrary.org/obo/CL_0000751
Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	xlsx	tables/Supplementary_Data_1-41467_2021_25968_MOESM4_ESM.xlsx	Supplementary_Data_1-41467_2021_25968_MOESM4_ESM#Donor74	deg	rod PR	ROD PHOTORECEPTOR CELL	http://purl.obolibrary.org/obo/CL_0000604
