5S_rRNA	ENSG00000263418
5_8S_rRNA	ENSG00000273730
7SK	ENSG00000202198
A1BG	ENSG00000121410
A1BG-AS1	ENSG00000268895
A1BG-AS	ENSG00000268895
A1BGAS	ENSG00000268895
FLJ23569	ENSG00000268895
NCRNA00181	ENSG00000268895
A1CF	ENSG00000148584
ACF	ENSG00000148584
ACF64	ENSG00000148584
ACF65	ENSG00000148584
APOBEC1CF	ENSG00000148584
ASP	ENSG00000148584
A2M	ENSG00000175899
CPAMD5	ENSG00000175899
FWP007	ENSG00000175899
S863-7	ENSG00000175899
A2M-AS1	ENSG00000245105
A2ML1	ENSG00000166535
CPAMD9	ENSG00000166535
FLJ25179	ENSG00000166535
p170	ENSG00000166535
A2ML1-AS1	ENSG00000256661
A2ML1-AS2	ENSG00000256904
A2MP1	ENSG00000256069
A2MP	ENSG00000256069
A3GALT2	ENSG00000184389
A3GALT2P	ENSG00000184389
IGB3S	ENSG00000184389
IGBS3S	ENSG00000184389
A4GALT	ENSG00000128274
A14GALT	ENSG00000128274
Gb3S	ENSG00000128274
P(k)	ENSG00000128274
P1	ENSG00000128274
A4GNT	ENSG00000118017
alpha4GnT	ENSG00000118017
AA06	ENSG00000265544
AA02	ENSG00000265544
AA04	ENSG00000265544
AA05	ENSG00000265544
AAAS	ENSG00000094914
AACS	ENSG00000081760
ACSF1	ENSG00000081760
FLJ12389	ENSG00000081760
SUR-5	ENSG00000081760
AACSP1	ENSG00000250420
AACSL	ENSG00000250420
AADAC	ENSG00000114771
CES5A1	ENSG00000114771
DAC	ENSG00000114771
AADACL2	ENSG00000197953
MGC72001	ENSG00000197953
AADACL2-AS1	ENSG00000242908
AADACL3	ENSG00000188984
OTTHUMG00000001887	ENSG00000188984
AADACL4	ENSG00000204518
OTTHUMG00000001889	ENSG00000204518
AADACP1	ENSG00000240602
AADAT	ENSG00000109576
KAT2	ENSG00000109576
KATII	ENSG00000109576
KYAT2	ENSG00000109576
AAGAB	ENSG00000103591
FLJ11506	ENSG00000103591
p34	ENSG00000103591
AAK1	ENSG00000115977
DKFZp686K16132	ENSG00000115977
KIAA1048	ENSG00000115977
AAMDC	ENSG00000087884
C11orf67	ENSG00000087884
CK067	ENSG00000087884
FLJ21035	ENSG00000087884
PTD015	ENSG00000087884
AAMP	ENSG00000127837
