doi	version	xml_path	markdown_path	metadata_path	title	pub_date	n_authors
10.1101/2020.06.30.174391	v1	data/hca/manuscripts/0450_10.1101_2020.06.30.174391_27363b5885/manuscript.xml	data/hca/manuscripts/0450_10.1101_2020.06.30.174391_27363b5885/manuscript.md	data/hca/manuscripts/0450_10.1101_2020.06.30.174391_27363b5885/biorxiv_metadata.json	Spatial and single-cell transcriptional landscape of human cerebellar development	2020-01-01	21
10.1101/2020.12.03.20242412			data/hca/manuscripts/0065_10.1101_2020.12.03.20242412_aa08d1f424/manuscript.md	data/hca/manuscripts/0065_10.1101_2020.12.03.20242412_aa08d1f424/biorxiv_metadata.json	Anomalous epithelial variations and ectopic inflammatory response in chronic obstructive pulmonary disease	2020-01-01	11
10.1101/2020.12.21.423830	v1	data/hca/manuscripts/0156_10.1101_2020.12.21.423830_b1006f56a0/manuscript.xml	data/hca/manuscripts/0156_10.1101_2020.12.21.423830_b1006f56a0/manuscript.md	data/hca/manuscripts/0156_10.1101_2020.12.21.423830_b1006f56a0/biorxiv_metadata.json	Single-cell RNA-sequencing reveals pervasive but highly cell type-specific genetic ancestry effects on the response to viral infection	2020-01-01	10
10.1101/2021.01.22.21250336			data/hca/manuscripts/0437_10.1101_2021.01.22.21250336_e963bc0939/manuscript.md	data/hca/manuscripts/0437_10.1101_2021.01.22.21250336_e963bc0939/biorxiv_metadata.json	Single nuclei profiling identifies cell specific markers of skeletal muscle aging, sarcopenia and senescence	2021-01-01	9
10.1101/2021.03.01.21252411			data/hca/manuscripts/0140_10.1101_2021.03.01.21252411_572fc1288d/manuscript.md	data/hca/manuscripts/0140_10.1101_2021.03.01.21252411_572fc1288d/biorxiv_metadata.json	Dynamic changes in human single cell transcriptional signatures during fatal sepsis	2021-01-01	7
10.1101/2021.03.02.433590	v4	data/hca/manuscripts/0035_10.1101_2021.03.02.433590_8f70c6deeb/manuscript.xml	data/hca/manuscripts/0035_10.1101_2021.03.02.433590_8f70c6deeb/manuscript.md	data/hca/manuscripts/0035_10.1101_2021.03.02.433590_8f70c6deeb/biorxiv_metadata.json	A single-cell atlas of breast cancer cell lines to study tumour heterogeneity and drug response	2021-01-01	6
10.1101/2021.03.23.436577	v1	data/hca/manuscripts/0478_10.1101_2021.03.23.436577_d5840c8f1c/manuscript.xml	data/hca/manuscripts/0478_10.1101_2021.03.23.436577_d5840c8f1c/manuscript.md	data/hca/manuscripts/0478_10.1101_2021.03.23.436577_d5840c8f1c/biorxiv_metadata.json	Aggregated Mycobacterium tuberculosis enhances the inflammatory response	2021-01-01	13
10.1101/2021.04.04.438388	v2	data/hca/manuscripts/0254_10.1101_2021.04.04.438388_f25c502cab/manuscript.xml	data/hca/manuscripts/0254_10.1101_2021.04.04.438388_f25c502cab/manuscript.md	data/hca/manuscripts/0254_10.1101_2021.04.04.438388_f25c502cab/biorxiv_metadata.json	Profiling of transcribed cis-regulatory elements in single cells	2021-01-01	15
10.1101/2021.04.05.438347	v2	data/hca/manuscripts/0408_10.1101_2021.04.05.438347_e17dfd8c36/manuscript.xml	data/hca/manuscripts/0408_10.1101_2021.04.05.438347_e17dfd8c36/manuscript.md	data/hca/manuscripts/0408_10.1101_2021.04.05.438347_e17dfd8c36/biorxiv_metadata.json	Single-cell sequencing unveils distinct immune microenvironment with CCR6-CCL20 crosstalk in human chronic pancreatitis	2021-01-01	10
10.1101/2021.04.28.441762	v2	data/hca/manuscripts/0113_10.1101_2021.04.28.441762_c83625bbe4/manuscript.xml	data/hca/manuscripts/0113_10.1101_2021.04.28.441762_c83625bbe4/manuscript.md	data/hca/manuscripts/0113_10.1101_2021.04.28.441762_c83625bbe4/biorxiv_metadata.json	Cross-tissue immune cell analysis reveals tissue-specific adaptations and clonal architecture in humans	2021-01-01	32
10.1101/2021.07.06.451312	v1	data/hca/manuscripts/0430_10.1101_2021.07.06.451312_11ba989c20/manuscript.xml	data/hca/manuscripts/0430_10.1101_2021.07.06.451312_11ba989c20/manuscript.md	data/hca/manuscripts/0430_10.1101_2021.07.06.451312_11ba989c20/biorxiv_metadata.json	Single Cell Transcriptomics Reveals Cell Type Specific Diversification in Human Heart Failure	2021-01-01	14
10.1101/2021.07.19.452956	v3	data/hca/manuscripts/0475_10.1101_2021.07.19.452956_e30bf05aad/manuscript.xml	data/hca/manuscripts/0475_10.1101_2021.07.19.452956_e30bf05aad/manuscript.md	data/hca/manuscripts/0475_10.1101_2021.07.19.452956_e30bf05aad/biorxiv_metadata.json	The Tabula Sapiens: a multiple organ single cell transcriptomic atlas of humans	2022-01-01	1
10.1101/2021.08.19.457030	v1	data/hca/manuscripts/0510_10.1101_2021.08.19.457030_7771c9367f/manuscript.xml	data/hca/manuscripts/0510_10.1101_2021.08.19.457030_7771c9367f/manuscript.md	data/hca/manuscripts/0510_10.1101_2021.08.19.457030_7771c9367f/biorxiv_metadata.json	Village in a dish: a model system for population-scale hiPSC studies	2021-01-01	16
10.1101/2021.09.16.460628	v1	data/hca/manuscripts/0095_10.1101_2021.09.16.460628_23a839e09f/manuscript.xml	data/hca/manuscripts/0095_10.1101_2021.09.16.460628_23a839e09f/manuscript.md	data/hca/manuscripts/0095_10.1101_2021.09.16.460628_23a839e09f/biorxiv_metadata.json	Cellular heterogeneity of human fallopian tubes in normal and hydrosalpinx disease states identified by scRNA-seq	2021-01-01	14
10.1101/2021.11.30.470583	v2	data/hca/manuscripts/0044_10.1101_2021.11.30.470583_4b4329647c/manuscript.xml	data/hca/manuscripts/0044_10.1101_2021.11.30.470583_4b4329647c/manuscript.md	data/hca/manuscripts/0044_10.1101_2021.11.30.470583_4b4329647c/biorxiv_metadata.json	A single-cell transcriptome atlas of human early embryogenesis	2022-01-01	10
10.1101/2021.12.20.473443	v1	data/hca/manuscripts/0093_10.1101_2021.12.20.473443_1d1224d1ea/manuscript.xml	data/hca/manuscripts/0093_10.1101_2021.12.20.473443_1d1224d1ea/manuscript.md	data/hca/manuscripts/0093_10.1101_2021.12.20.473443_1d1224d1ea/biorxiv_metadata.json	Cellular development and evolution of the mammalian cerebellum	2021-01-01	21
10.1101/2022.02.09.479667	v1	data/hca/manuscripts/0112_10.1101_2022.02.09.479667_caaafb2f08/manuscript.xml	data/hca/manuscripts/0112_10.1101_2022.02.09.479667_caaafb2f08/manuscript.md	data/hca/manuscripts/0112_10.1101_2022.02.09.479667_caaafb2f08/biorxiv_metadata.json	Single-cell analysis reveals a pathogenic cellular module associated with early allograft dysfunction after liver transplantation	2022-01-01	11
