folder	doi	publication_title	project_count	metadata_json	resolution_json	manuscript_path	manuscript_html	manuscript_xml	biorxiv_manuscript_xml	manuscript_pdf	biorxiv_metadata_json
0001_10.1016_j.celrep.2018.11.086_7aff07407b	10.1016/j.celrep.2018.11.086	A Cellular Anatomy of the Normal Adult Human Prostate and Prostatic Urethra	1	data/hca/manuscripts/0001_10.1016_j.celrep.2018.11.086_7aff07407b/metadata.json	data/hca/manuscripts/0001_10.1016_j.celrep.2018.11.086_7aff07407b/resolution.json	data/hca/manuscripts/0001_10.1016_j.celrep.2018.11.086_7aff07407b/manuscript.md		data/hca/manuscripts/0001_10.1016_j.celrep.2018.11.086_7aff07407b/manuscript.xml			
0002_10.1038_s41586-019-1373-2_de5bb9e220	10.1038/s41586-019-1373-2	A human liver cell atlas reveals heterogeneity and epithelial progenitors.	1	data/hca/manuscripts/0002_10.1038_s41586-019-1373-2_de5bb9e220/metadata.json	data/hca/manuscripts/0002_10.1038_s41586-019-1373-2_de5bb9e220/resolution.json	data/hca/manuscripts/0002_10.1038_s41586-019-1373-2_de5bb9e220/manuscript.md		data/hca/manuscripts/0002_10.1038_s41586-019-1373-2_de5bb9e220/manuscript.xml			
0003_10.3389_fimmu.2021.645988_480a5ea7f6	10.3389/fimmu.2021.645988	A Partial Picture of the Single-Cell Transcriptomics of Human IgA Nephropathy	1	data/hca/manuscripts/0003_10.3389_fimmu.2021.645988_480a5ea7f6/metadata.json	data/hca/manuscripts/0003_10.3389_fimmu.2021.645988_480a5ea7f6/resolution.json	data/hca/manuscripts/0003_10.3389_fimmu.2021.645988_480a5ea7f6/manuscript.md		data/hca/manuscripts/0003_10.3389_fimmu.2021.645988_480a5ea7f6/manuscript.xml			
0004_10.21203_rs.3.pex-953_v2_dd809035b1	10.21203/rs.3.pex-953/v2	A Protocol for Revealing Oral Neutrophil Heterogeneity by Single-Cell Immune Profiling in Human Saliva	1	data/hca/manuscripts/0004_10.21203_rs.3.pex-953_v2_dd809035b1/metadata.json	data/hca/manuscripts/0004_10.21203_rs.3.pex-953_v2_dd809035b1/resolution.json		data/hca/manuscripts/0004_10.21203_rs.3.pex-953_v2_dd809035b1/manuscript.html				
0005_10.1164_rccm.201911-2199oc_566d136724	10.1164/rccm.201911-2199oc	A Single-Cell Atlas of the Human Healthy Airways.	1	data/hca/manuscripts/0005_10.1164_rccm.201911-2199oc_566d136724/metadata.json	data/hca/manuscripts/0005_10.1164_rccm.201911-2199oc_566d136724/resolution.json						
0006_10.3389_fcell.2022.835445_847c20f209	10.3389/fcell.2022.835445	Single-cell RNA-seq reveals sequential trophoblast transition during human embryo implantation	1	data/hca/manuscripts/0006_10.3389_fcell.2022.835445_847c20f209/metadata.json	data/hca/manuscripts/0006_10.3389_fcell.2022.835445_847c20f209/resolution.json	data/hca/manuscripts/0006_10.3389_fcell.2022.835445_847c20f209/manuscript.md		data/hca/manuscripts/0006_10.3389_fcell.2022.835445_847c20f209/manuscript.xml			
0007_10.1016_j.stem.2022.09.010_b0ba37bc2c	10.1016/j.stem.2022.09.010	A single-cell transcriptome atlas of glial diversity in the human hippocampus across the postnatal lifespan	1	data/hca/manuscripts/0007_10.1016_j.stem.2022.09.010_b0ba37bc2c/metadata.json	data/hca/manuscripts/0007_10.1016_j.stem.2022.09.010_b0ba37bc2c/resolution.json	data/hca/manuscripts/0007_10.1016_j.stem.2022.09.010_b0ba37bc2c/manuscript.md	data/hca/manuscripts/0007_10.1016_j.stem.2022.09.010_b0ba37bc2c/manuscript.html				
0008_10.1016_j.cels.2016.09.002_fd6b21337a	10.1016/j.cels.2016.09.002	A Single-Cell Transcriptome Atlas of the Human Pancreas.	1	data/hca/manuscripts/0008_10.1016_j.cels.2016.09.002_fd6b21337a/metadata.json	data/hca/manuscripts/0008_10.1016_j.cels.2016.09.002_fd6b21337a/resolution.json	data/hca/manuscripts/0008_10.1016_j.cels.2016.09.002_fd6b21337a/manuscript.md		data/hca/manuscripts/0008_10.1016_j.cels.2016.09.002_fd6b21337a/manuscript.xml			
0009_10.1016_j.devcel.2020.11.002_b750df5ec6	10.1016/j.devcel.2020.11.002	A Single-Cell Transcriptomic Atlas of Human Skin Aging.	1	data/hca/manuscripts/0009_10.1016_j.devcel.2020.11.002_b750df5ec6/metadata.json	data/hca/manuscripts/0009_10.1016_j.devcel.2020.11.002_b750df5ec6/resolution.json		data/hca/manuscripts/0009_10.1016_j.devcel.2020.11.002_b750df5ec6/manuscript.html	data/hca/manuscripts/0009_10.1016_j.devcel.2020.11.002_b750df5ec6/manuscript.xml			
0010_10.1016_j.cels.2016.08.011_1f66aabffa	10.1016/j.cels.2016.08.011	A Single-Cell Transcriptomic Map of the Human and Mouse Pancreas Reveals Inter- and Intra-cell Population Structure.	1	data/hca/manuscripts/0010_10.1016_j.cels.2016.08.011_1f66aabffa/metadata.json	data/hca/manuscripts/0010_10.1016_j.cels.2016.08.011_1f66aabffa/resolution.json	data/hca/manuscripts/0010_10.1016_j.cels.2016.08.011_1f66aabffa/manuscript.md	data/hca/manuscripts/0010_10.1016_j.cels.2016.08.011_1f66aabffa/manuscript.html				
