file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	Aberrant Basaloid	ABERRANT BASALOID CELL	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	Aberrant Basaloid	ABERRANT BASALOID CELL	
EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2.tsv	tables/EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2.tsv	EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2	EPITHELIAL-Supplementary_Data_S2-aba1983_data_s2	tsv	Aberrant Basaloid	ABERRANT BASALOID CELL	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	Macrophage Alveolar	ALVEOLAR MACROPHAGE	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	Macrophage Alveolar	ALVEOLAR MACROPHAGE	
ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	tables/ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8.tsv	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	ALL_IPF_CTRL-Supplementary_Data_S8-aba1983_data_s8	tsv	Macrophage Alveolar	ALVEOLAR MACROPHAGE	
ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	tables/ALL-Supplementary_Data_S6-aba1983_data_s6.tsv	ALL-Supplementary_Data_S6-aba1983_data_s6	ALL-Supplementary_Data_S6-aba1983_data_s6	tsv	Macrophage Alveolar	ALVEOLAR MACROPHAGE	
MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	tables/MYELOID-Supplementary_Data_S4-aba1983_data_s4.tsv	MYELOID-Supplementary_Data_S4-aba1983_data_s4	MYELOID-Supplementary_Data_S4-aba1983_data_s4	tsv	Macrophage Alveolar	ALVEOLAR MACROPHAGE	
ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	tables/ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9.tsv	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	ALL_COPD_CTRL-Supplementary_Data_S9-aba1983_data_s9	tsv	AT1	ALVEOLAR TYPE 1 CELL	
ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	tables/ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10.tsv	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	ALL_IPF_COPD-Supplementary_Data_S10-aba1983_data_s10	tsv	AT1	ALVEOLAR TYPE 1 CELL	
