"cellType"	"gene"	"logFC"	"logDOR"	"Prop.Exp.in"	"Prop.Exp.Out"	"nCells.in"	"nCells.out"
"1"	"AT1"	"AGER"	2.98676074200121	6.88997731024166	0.924976258309592	0.0123223645371612	1053	306597
"2"	"AT1"	"EMP2"	3.4949375505409	6.83097576505363	0.988603988603989	0.0825415773800787	1053	306597
"3"	"AT1"	"GPRC5A"	2.72633839317348	6.03734413490094	0.971509971509972	0.0741853312328562	1053	306597
"4"	"AT1"	"SCEL"	1.52159951318453	5.93360991326415	0.767331433998101	0.00864652948332828	1053	306597
"5"	"AT1"	"CAV1"	2.8453674876042	5.92772031200519	0.949667616334283	0.0474629562585413	1053	306597
"6"	"AT1"	"ANKRD1"	0.934329420852575	5.73860170428305	0.36372269705603	0.00183628672165742	1053	306597
"7"	"AT1"	"LMO7"	2.39106621283272	5.72965060788933	0.945868945868946	0.0532914542542817	1053	306597
"8"	"AT1"	"TNNC1"	1.113055894496	5.64400134715773	0.597340930674264	0.00521857682886656	1053	306597
"9"	"AT1"	"ENSG00000257894"	1.37566389128055	5.5848824628771	0.716049382716049	0.00936734540781547	1053	306597
"10"	"AT1"	"GGTLC1"	0.810801205987906	5.52955049118928	0.47008547008547	0.00350623130689472	1053	306597
"11"	"AT1"	"SUSD2"	1.30796559472153	5.46455856495654	0.708452041785375	0.0101729632057717	1053	306597
"12"	"AT1"	"NCKAP5"	2.74432900965382	5.3648251516229	0.924976258309592	0.0542340596939957	1053	306597
"13"	"AT1"	"AQP4"	1.13032499799369	5.33232385409855	0.635327635327635	0.00834319970515041	1053	306597
"14"	"AT1"	"KRT7"	2.37159665372861	5.30429389665931	0.890788224121557	0.0388164267752131	1053	306597
"15"	"AT1"	"LIMCH1"	2.48221152435494	5.25190000328176	0.947768281101614	0.0861130408973343	1053	306597
"16"	"AT1"	"SFTA2"	2.0248703982379	5.22066999642672	0.830009496676163	0.0256493051138791	1053	306597
"17"	"AT1"	"MS4A15"	0.661709812977475	5.17939667050804	0.379867046533713	0.00343773748601584	1053	306597
"18"	"AT1"	"CEACAM6"	1.88145627051095	5.10240551909808	0.778727445394112	0.0209232314732369	1053	306597
"19"	"AT1"	"LINC01290"	1.42422296188079	5.02764028424505	0.705603038936372	0.0154502490239631	1053	306597
"20"	"AT1"	"ENSG00000279662"	0.39776688640213	4.99585149733391	0.278252611585945	0.0026027651933972	1053	306597
"21"	"AT1"	"CLDN18"	1.69826726075359	4.88751860788891	0.777777777777778	0.0256721363875054	1053	306597
