"cellType"	"gene"	"log1p_FC"	"pct.copd"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"1"	"ncMonocyte"	"ABCA1"	-1.20764620420301	0.944444444444444	1	2.25578509397395e-08	7.46664866105376e-06	7.46664866105376e-06
"2"	"ncMonocyte"	"WAC"	0.574158665249781	1	1	1.23741817874572e-07	1.66323478427234e-05	4.09585417164832e-05
"3"	"ncMonocyte"	"ELF1"	0.619299361352807	1	1	1.5074635507e-07	1.66323478427234e-05	4.98970435281701e-05
"4"	"ncMonocyte"	"CRIP1"	0.671525419934581	1	0.961538461538462	1.81741448362605e-06	0.000138068377581334	0.000601564194080224
"5"	"ncMonocyte"	"RAB20"	-0.389327634227056	0.944444444444444	1	2.13484455245617e-06	0.000138068377581334	0.000706633546862992
"6"	"ncMonocyte"	"ANXA1"	0.623772139895556	1	0.961538461538462	2.50275004679156e-06	0.000138068377581334	0.000828410265488007
"7"	"ncMonocyte"	"TSC22D3"	0.511903887921539	1	0.961538461538462	3.42032152162543e-06	0.00016173234623686	0.00113212642365802
"8"	"ncMonocyte"	"PTPRJ"	-0.785983609311867	1	1	4.64032982609265e-06	0.000172879705324219	0.00153594917243667
"9"	"ncMonocyte"	"ENSG00000263264"	0.286886170761619	1	0.846153846153846	4.81223013836873e-06	0.000172879705324219	0.00159284817580005
"10"	"ncMonocyte"	"ZFAND5"	0.679763101209444	1	0.961538461538462	5.39073387162351e-06	0.000172879705324219	0.00178433291150738
"11"	"ncMonocyte"	"OAZ2"	-0.296003495819476	0.944444444444444	0.961538461538462	5.74524700473235e-06	0.000172879705324219	0.00190167675856641
"12"	"ncMonocyte"	"KCNAB2"	0.532816290100804	1	1	7.23808432519285e-06	0.000199650492636569	0.00239580591163883
"13"	"ncMonocyte"	"CELF2"	0.618397899837558	1	1	8.36624689812545e-06	0.000213017517175348	0.00276922772327953
"14"	"ncMonocyte"	"INSR"	0.621012132878945	1	0.961538461538462	1.11241462093096e-05	0.000263006599662964	0.00368209239528149
"15"	"ncMonocyte"	"XPO6"	0.589846136301811	1	0.961538461538462	1.27973629527053e-05	0.000270311000211173	0.00423592713734547
"16"	"ncMonocyte"	"ENSG00000268861"	0.329129087493857	1	0.923076923076923	1.32147231193025e-05	0.000270311000211173	0.00437407335248913
"17"	"ncMonocyte"	"BLVRB"	-0.258698380093682	1	1	1.4699691854384e-05	0.000270311000211173	0.00486559800380111
"18"	"ncMonocyte"	"AKIRIN2"	0.316684585747468	1	0.961538461538462	1.4699691854384e-05	0.000270311000211173	0.00486559800380111
"19"	"ncMonocyte"	"HIF1A"	-0.667497182004178	0.944444444444444	1	1.68597576072148e-05	0.000288154894827485	0.00558057976798811
"20"	"ncMonocyte"	"ZBTB16"	0.971628489995369	1	0.846153846153846	1.81702570076974e-05	0.000288154894827485	0.00601435506954783
