"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.copd"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"1"	"ncMonocyte"	"ADGRE2"	-0.459831039319811	0.96875	1	1.74338192840993e-06	0.000345189621825166	0.000345189621825166
"2"	"ncMonocyte"	"CMSS1"	-0.464283397247328	0.90625	1	8.31067841395289e-06	0.000749607735702153	0.00164551432596267
"3"	"ncMonocyte"	"TET2"	-0.441257383073808	0.96875	1	1.13576929651841e-05	0.000749607735702153	0.00224882320710646
"4"	"ncMonocyte"	"AKAP13"	-0.487775089879668	1	1	1.79700595982409e-05	0.000750999001232132	0.0035580718004517
"5"	"ncMonocyte"	"CCL18"	0.346938849685094	0.9375	0.833333333333333	1.89646212432357e-05	0.000750999001232132	0.00375499500616066
"6"	"ncMonocyte"	"JUN"	0.476997652830505	0.96875	1	3.47505936395531e-05	0.00101011660057181	0.00688061754063152
"7"	"ncMonocyte"	"BASP1"	-0.382203255944653	0.9375	0.944444444444444	3.57111929495084e-05	0.00101011660057181	0.00707081620400266
"8"	"ncMonocyte"	"SMIM25"	0.394336193890507	0.96875	1	4.29804626561048e-05	0.00106376645073859	0.00851013160590874
"9"	"ncMonocyte"	"HIST2H2AA4"	0.358274975381751	0.96875	0.944444444444444	5.76703673806731e-05	0.00117122840748344	0.0114187327413733
"10"	"ncMonocyte"	"ELL2"	-0.519738653968342	0.96875	1	6.50682448601909e-05	0.00117122840748344	0.0128835124823178
"11"	"ncMonocyte"	"ANKRD11"	-0.519950789322408	1	1	6.50682448601909e-05	0.00117122840748344	0.0128835124823178
"12"	"ncMonocyte"	"SYAP1"	-0.46822071018359	0.9375	1	7.76938983232456e-05	0.00128194932233355	0.0153833918680026
"13"	"ncMonocyte"	"PPP1CB"	-0.486890966166167	0.96875	1	8.80281532896461e-05	0.00134073648856538	0.0174295743513499
"14"	"ncMonocyte"	"BLVRB"	0.253173021735752	0.96875	1	9.71998663140627e-05	0.0013746838235846	0.0192455735301844
"15"	"ncMonocyte"	"ENSG00000250644"	0.290548725672521	0.96875	1	0.000157672120964574	0.00179789685011312	0.0312190799509856
"16"	"ncMonocyte"	"CREBBP"	-0.301719755035647	0.9375	1	0.000163575993777192	0.00179789685011312	0.032388046767884
"17"	"ncMonocyte"	"NBPF19"	-0.403817904493693	0.9375	1	0.000163575993777192	0.00179789685011312	0.032388046767884
