"cellType"	"gene"	"log1p_FC"	"pct.ipf"	"pct.ctrl"	"wilcox.p"	"wilcox.fdr"	"wilcox.bonferroni"
"1"	"ncMonocyte"	"CMIP"	-0.620990676901419	0.96875	1	2.60000003411217e-10	1.20640001582805e-07	1.20640001582805e-07
"2"	"ncMonocyte"	"DUSP1"	0.722905674181406	1	1	1.85618390327587e-09	3.81166480681536e-07	8.61269331120005e-07
"3"	"ncMonocyte"	"QKI"	-0.664813054243685	0.96875	1	2.46443845268235e-09	3.81166480681536e-07	1.14349944204461e-06
"4"	"ncMonocyte"	"CRIP1"	1.22483718532066	0.96875	0.961538461538462	4.12954295697171e-09	4.79026983008718e-07	1.91610793203487e-06
"5"	"ncMonocyte"	"ACTG1"	0.621268592428802	1	0.961538461538462	6.41883445642754e-09	5.66761952496525e-07	2.97833918778238e-06
"6"	"ncMonocyte"	"ACTB"	0.979424609910621	1	0.961538461538462	7.32881835124816e-09	5.66761952496525e-07	3.40057171497915e-06
"7"	"ncMonocyte"	"NAP1L1"	0.621370725118547	1	1	9.52572780367206e-09	5.81185591514296e-07	4.41993770090384e-06
"8"	"ncMonocyte"	"ABCA1"	-1.32037629546335	0.9375	1	1.00204412330051e-08	5.81185591514296e-07	4.64948473211437e-06
"9"	"ncMonocyte"	"SH3BGRL"	0.513167809931258	1	0.961538461538462	1.80437603490029e-08	9.30256089104152e-07	8.37230480193737e-06
"10"	"ncMonocyte"	"LYPD2"	0.396158574490692	0.90625	0.346153846153846	2.09731441273226e-08	9.73153887507767e-07	9.73153887507767e-06
"11"	"ncMonocyte"	"EPB41L3"	-0.834776815371963	0.96875	1	6.811261311355e-08	2.87311386224429e-06	3.16042524846872e-05
"12"	"ncMonocyte"	"ANXA1"	0.818317271749446	0.96875	0.961538461538462	1.15543937520878e-07	4.22309865713943e-06	5.36123870096874e-05
"13"	"ncMonocyte"	"GPD2"	-0.28008956734551	0.875	0.961538461538462	1.3024706109553e-07	4.22309865713943e-06	6.04346363483259e-05
"14"	"ncMonocyte"	"S100A6"	0.811823412831615	0.96875	1	1.34984587950708e-07	4.22309865713943e-06	6.26328488091283e-05
"15"	"ncMonocyte"	"SMIM25"	0.786273247273234	0.96875	0.884615384615385	1.36522585898904e-07	4.22309865713943e-06	6.33464798570915e-05
"16"	"ncMonocyte"	"TSC22D3"	0.808869820253102	0.96875	0.961538461538462	1.49233964040497e-07	4.32778495717442e-06	6.92445593147907e-05
"17"	"ncMonocyte"	"PLAUR"	-0.60022646890421	1	1	2.60615868581421e-07	6.36451384325155e-06	0.000120925763021779
"18"	"ncMonocyte"	"SH2B3"	-0.306529544981028	1	1	2.60615868581421e-07	6.36451384325155e-06	0.000120925763021779
"19"	"ncMonocyte"	"TET2"	-0.49678028554408	0.96875	1	2.60615868581421e-07	6.36451384325155e-06	0.000120925763021779
"20"	"ncMonocyte"	"S100A11"	0.781950931893155	1	1	2.90114807614007e-07	6.73066353664496e-06	0.000134613270732899
"21"	"ncMonocyte"	"MYO9B"	-0.648491669419462	1	1	3.98602209201353e-07	8.80721071759179e-06	0.000184951425069428
"22"	"ncMonocyte"	"B2M"	0.688155747347425	1	1	4.42547840837252e-07	9.33373627947659e-06	0.000205342198148485
"23"	"ncMonocyte"	"RPL9"	0.650479593796225	1	1	4.91022059383207e-07	9.90583632842643e-06	0.000227834235553808
"24"	"ncMonocyte"	"ZNF706"	0.358698464067966	0.96875	0.884615384615385	5.17614864788565e-07	1.00072207192456e-05	0.000240173297261894
"25"	"ncMonocyte"	"RHOB"	0.703174478626649	1	0.923076923076923	5.4104859047779e-07	1.00418618392678e-05	0.000251046545981694
"26"	"ncMonocyte"	"MAFB"	0.403432185745964	0.96875	0.961538461538462	8.42921177641284e-07	1.50429010163675e-05	0.000391115426425556
"27"	"ncMonocyte"	"AKIRIN2"	0.453041812868259	1	0.961538461538462	9.04107748849748e-07	1.55372590913438e-05	0.000419505995466283
"28"	"ncMonocyte"	"SCGB3A1"	0.305283285276162	0.90625	0.576923076923077	9.73447354042195e-07	1.59807343307505e-05	0.000451679572275579
"29"	"ncMonocyte"	"SERPINA1"	0.487583169106284	0.96875	1	9.98795895671906e-07	1.59807343307505e-05	0.000463441295591764
"30"	"ncMonocyte"	"LDHA"	0.368393716046271	1	0.961538461538462	1.10274301943377e-06	1.70557587005756e-05	0.000511672761017269
"31"	"ncMonocyte"	"PTMA"	0.682434428368421	0.96875	0.961538461538462	1.15844133336776e-06	1.71087847686366e-05	0.000537516778682641
"32"	"ncMonocyte"	"BASP1"	-0.474492474288458	0.9375	1	1.20509019223923e-06	1.71087847686366e-05	0.000559161849199001
"33"	"ncMonocyte"	"HSBP1"	0.327142112021845	0.96875	1	1.21678857190734e-06	1.71087847686366e-05	0.000564589897365008
"34"	"ncMonocyte"	"ZBTB16"	0.941522413334744	0.96875	0.846153846153846	1.63767189020169e-06	2.23494046192231e-05	0.000759879757053585
"35"	"ncMonocyte"	"S100A10"	0.700001984540636	0.96875	1	1.97310047456889e-06	2.61576748628561e-05	0.000915518620199964
"36"	"ncMonocyte"	"DOCK4"	-1.09433978146714	0.9375	1	2.08145221858926e-06	2.68276063729282e-05	0.000965793829425414
"37"	"ncMonocyte"	"WAC"	0.482662854541838	0.96875	1	2.38453899983834e-06	2.99034079979727e-05	0.00110642609592499
"38"	"ncMonocyte"	"MT-TC"	-0.397088233230715	0.8125	1	2.79604813744698e-06	3.41412193625105e-05	0.0012973663357754
"39"	"ncMonocyte"	"FNBP1"	-0.497303580102682	0.96875	1	2.87543075145963e-06	3.42102530430068e-05	0.00133419986867727
"40"	"ncMonocyte"	"C1QB"	-0.666348532069892	0.875	0.961538461538462	3.03350285297826e-06	3.51886330945478e-05	0.00140754532378191
"41"	"ncMonocyte"	"PPDPF"	0.519412541063759	0.96875	0.884615384615385	3.41126382931122e-06	3.86055223609855e-05	0.00158282641680041
"42"	"ncMonocyte"	"DMXL2"	-0.510261479189117	0.9375	1	3.55382765588273e-06	3.92613341030854e-05	0.00164897603232959
"43"	"ncMonocyte"	"PHLPP1"	-0.355214805287898	0.875	0.961538461538462	3.80758138224298e-06	3.98838542417776e-05	0.00176671776136074
"44"	"ncMonocyte"	"CCL18"	0.348232381446211	0.9375	0.653846153846154	3.83331285707389e-06	3.98838542417776e-05	0.00177865716568229
"45"	"ncMonocyte"	"CXCL2"	-0.378377247858451	0.78125	0.961538461538462	3.86804620879308e-06	3.98838542417776e-05	0.00179477344087999
"46"	"ncMonocyte"	"FOXN3"	-0.515017124667632	0.9375	1	4.13195748851529e-06	4.10122072546673e-05	0.0019172282746711
"47"	"ncMonocyte"	"CYTH1"	-0.541909415127433	1	1	4.15425375208915e-06	4.10122072546673e-05	0.00192757374096936
"48"	"ncMonocyte"	"KLF4"	0.369775267388484	0.9375	0.923076923076923	4.4402810841536e-06	4.29227171468181e-05	0.00206029042304727
"49"	"ncMonocyte"	"NFKB1"	-0.624746728334391	0.96875	1	4.97754256331665e-06	4.71342805995699e-05	0.00230957974937892
