file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
Supplementary Dataset 1.xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1#Variable genes clusters	xlsx	endothelial cells	ENDOTHELIAL CELL	
Supplementary Dataset 1.xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1#Variable genes clusters	xlsx	granulosa cells	GRANULOSA CELL	
Supplementary Dataset 1.xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1#Variable genes clusters	xlsx	immune cells	IMMUNE CELL	
Supplementary Dataset 1.xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1#Variable genes clusters	xlsx	oocytes	OOCYTE	
Supplementary Dataset 1.xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1#Variable genes clusters	xlsx	perivascular cells	PERIVASCULAR CELL	
Supplementary Dataset 1.xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1#Variable genes clusters	xlsx	stroma	STROMAL CELL	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	endothelial cells	ENDOTHELIAL CELL	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	granulosa cells	GRANULOSA CELL	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	monocytes	MONOCYTE	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	oocytes	OOCYTE	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	perivascular cells	PERIVASCULAR CELL	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	stroma	STROMAL CELL	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2#Variable genes clusters	xlsx	t cells	T CELL	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes Orig.Ident	Supplementary Dataset 2#Variable genes Orig.Ident	xlsx	DDX4 Ab+	DDX4 AB+	
Supplementary Dataset 2.xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes Orig.Ident	Supplementary Dataset 2#Variable genes Orig.Ident	xlsx	DDX4 Ab-	DDX4 AB-	
