file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1.xlsx	xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	deg	endothelial cells	ENDOTHELIAL CELL	
Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1.xlsx	xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	deg	granulosa cells	GRANULOSA CELL	
Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1.xlsx	xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	deg	immune cells	IMMUNE CELL	
Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1.xlsx	xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	deg	oocytes	OOCYTE	
Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1.xlsx	xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	deg	perivascular cells	PERIVASCULAR CELL	
Supplementary Dataset 1#Variable genes clusters	Supplementary Dataset 1.xlsx	xlsx	tables/Supplementary Dataset 1.xlsx	Supplementary Dataset 1#Variable genes clusters	deg	stroma	STROMAL CELL	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	endothelial cells	ENDOTHELIAL CELL	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	granulosa cells	GRANULOSA CELL	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	monocytes	MONOCYTE	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	oocytes	OOCYTE	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	perivascular cells	PERIVASCULAR CELL	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	stroma	STROMAL CELL	
Supplementary Dataset 2#Variable genes clusters	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes clusters	deg	t cells	T CELL	
Supplementary Dataset 2#Variable genes Orig.Ident	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes Orig.Ident	deg	DDX4 Ab+	DDX4 AB+	
Supplementary Dataset 2#Variable genes Orig.Ident	Supplementary Dataset 2.xlsx	xlsx	tables/Supplementary Dataset 2.xlsx	Supplementary Dataset 2#Variable genes Orig.Ident	deg	DDX4 Ab-	DDX4 AB-	
