file_name	file_uri	file_id	data_id	file_type	group_label	group_name	group_id
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Elongating	ELONGATING CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Endothelial	ENDOTHELIAL CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	ImmLeydig	IMMATURE LEYDIG CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Macrophage	MACROPHAGE	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Myoid	MYOID CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	RoundSpermatid	ROUND SPERMATID CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Spermatocyte	SPERMATOCYTE	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Spermatogonia	SPERMATOGONIA CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	Tcell	T CELL	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	f-Pericyte	F-PERICYTE	
Supplementary Table S1.xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1#B.HumanTestis-Markers	xlsx	m-Pericyte	M-PERICYTE	
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	1	SPERMATOGONIA CELL	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	2	SPERMATOGONIA CELL	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	3	MEIOTIC SPERMATOCYTE	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	4	POST-MEIOTIC ROUND SPERMATID	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	5	POST-MEIOTIC ROUND SPERMATID	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	6	ELONGATED SPERMATID	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2#A. Human Clusters1-7 Markers	xlsx	7	ELONGATED SPERMATID	Germ Cells
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	xlsx	1	SPERMATOGONIA CELL 1	
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	xlsx	2	SPERMATOGONIA CELL 2	
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	xlsx	3	SPERMATOGONIA CELL 3	
Supplementary Table S2.xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	xlsx	4	SPERMATOGONIA CELL 4	
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	Supplementary Table S3#B. Merged analysis	xlsx	1	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 1	SPG1
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	Supplementary Table S3#B. Merged analysis	xlsx	2	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 2	SPG2
Supplementary Table S3.xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	Supplementary Table S3#B. Merged analysis	xlsx	3	TRANSITIONING SPERMATOGONIAL CELL 3	SPG3
