file_id	file_name	file_type	file_uri	data_id	data_type	group_label	group_name	group_id
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Elongating	ELONGATING CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Endothelial	ENDOTHELIAL CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	ImmLeydig	IMMATURE LEYDIG CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Macrophage	MACROPHAGE	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Myoid	MYOID CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	RoundSpermatid	ROUND SPERMATID CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Spermatocyte	SPERMATOCYTE	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Spermatogonia	SPERMATOGONIA CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	Tcell	T CELL	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	f-Pericyte	F-PERICYTE	
Supplementary Table S1#B.HumanTestis-Markers	Supplementary Table S1.xlsx	xlsx	tables/Supplementary Table S1.xlsx	Supplementary Table S1#B.HumanTestis-Markers	deg	m-Pericyte	M-PERICYTE	
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	1	SPERMATOGONIA CELL	Germ Cells
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	2	SPERMATOGONIA CELL	Germ Cells
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	3	MEIOTIC SPERMATOCYTE	Germ Cells
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	4	POST-MEIOTIC ROUND SPERMATID	Germ Cells
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	5	POST-MEIOTIC ROUND SPERMATID	Germ Cells
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	6	ELONGATED SPERMATID	Germ Cells
Supplementary Table S2#A. Human Clusters1-7 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#A. Human Clusters1-7 Markers	deg	7	ELONGATED SPERMATID	Germ Cells
Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	deg	1	SPERMATOGONIA CELL 1	
Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	deg	2	SPERMATOGONIA CELL 2	
Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	deg	3	SPERMATOGONIA CELL 3	
Supplementary Table S2#C.Human SPG cluster 1-4 Markers	Supplementary Table S2.xlsx	xlsx	tables/Supplementary Table S2.xlsx	Supplementary Table S2#C.Human SPG cluster 1-4 Markers	deg	4	SPERMATOGONIA CELL 4	
Supplementary Table S3#B. Merged analysis	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	deg	1	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 1	SPG1
Supplementary Table S3#B. Merged analysis	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	deg	2	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 2	SPG2
Supplementary Table S3#B. Merged analysis	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	deg	3	TRANSITIONING SPERMATOGONIAL CELL 3	SPG3
Supplementary Table S3#B. Merged analysis	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	deg	4	TRANSITIONING SPERMATOGONIAL CELL 4	SPG4
Supplementary Table S3#B. Merged analysis	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	deg	5	TRANSITIONING SPERMATOGONIAL CELL 5	SPG5
Supplementary Table S3#B. Merged analysis	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#B. Merged analysis	deg	6	TYPE B DIFFERENTIATED SPERMATOGONIAL CELL	SPG6
Supplementary Table S3#C. Human Markers	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	deg	1	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 1	SPG1
Supplementary Table S3#C. Human Markers	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	deg	2	TYPE A UNDIFFERENTIATED SPERMATOGONIAL CELL 2	SPG2
Supplementary Table S3#C. Human Markers	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	deg	3	TRANSITIONING SPERMATOGONIAL CELL 3	SPG3
Supplementary Table S3#C. Human Markers	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	deg	4	TRANSITIONING SPERMATOGONIAL CELL 4	SPG4
Supplementary Table S3#C. Human Markers	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	deg	5	TRANSITIONING SPERMATOGONIAL CELL 5	SPG5
Supplementary Table S3#C. Human Markers	Supplementary Table S3.xlsx	xlsx	tables/Supplementary Table S3.xlsx	Supplementary Table S3#C. Human Markers	deg	6	TYPE B DIFFERENTIATED SPERMATOGONIAL CELL	SPG6
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	Endothelial	ENDOTHELIAL CELL	
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	ImmLeydig	IMMATURE LEYDIG CELL	
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	Macrophage	MACROPHAGE	
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	Myoid	MYOID CELL	
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	Tcell	T CELL	
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	f-Pericyte	F-PERICYTE	
Supplementary Table S6#B.HumanSoma-Markers	Supplementary Table S6.xlsx	xlsx	tables/Supplementary Table S6.xlsx	Supplementary Table S6#B.HumanSoma-Markers	deg	m-Pericyte	M-PERICYTE	
