index	corpus	key	folder	doi	year	author	n_authors	title	locator
1	bioRxiv	biorxiv_b629f2a0_6f39_1014_bcfe_d40330cad081	b629f2a0-6f39-1014-bcfe-d40330cad081			Michael L. Beshiri et al.	17	A cancer stem cell population underlies a multi-lineage phenotype and drug resistance in prostate cancer	local:b629f2a0-6f39-1014-bcfe-d40330cad081
2	bioRxiv	biorxiv_a63583e3_6c7b_1014_a201_b82bec671474	a63583e3-6c7b-1014-a201-b82bec671474			Ignacio del Valle et al.	17	A cell atlas of human adrenal cortex development and disease	local:a63583e3-6c7b-1014-a201-b82bec671474
3	bioRxiv	biorxiv_527d19aa_6dc2_1014_be48_c462f9c5cf67	527d19aa-6dc2-1014-be48-c462f9c5cf67			Haley R. Noonan et al.	8	A chronic signaling TGFb zebrafish reporter identifies immune response in melanoma	local:527d19aa-6dc2-1014-be48-c462f9c5cf67
4	bioRxiv	biorxiv_f9097eba_6d8c_1014_9fa3_fc59cec3cf52	f9097eba-6d8c-1014-9fa3-fc59cec3cf52			Joanna Szopinska-Tokov et al.	9	A comparison of bioinformatics pipelines for compositional analysis of the human gut microbiome	local:f9097eba-6d8c-1014-9fa3-fc59cec3cf52
5	bioRxiv	biorxiv_63193ce6_7148_1014_9e66_9730890de51c	63193ce6-7148-1014-9e66-9730890de51c			Xiaojia Huang et al.	9	A comprehensive atlas of testicular interstitium reveals Cd34+/Sox4+ mesenchymal cells as potential Leydig cell progenitors	local:63193ce6-7148-1014-9e66-9730890de51c
6	bioRxiv	biorxiv_0e1885b4_6c0f_1014_862f_a7f02207dcc6	0e1885b4-6c0f-1014-862f-a7f02207dcc6			Shahin Mohammadi et al.	2	A convex optimization approach for identification of human tissue-specific interactomes	local:0e1885b4-6c0f-1014-862f-a7f02207dcc6
7	bioRxiv	biorxiv_f96f23ec_83f2_1014_ad76_8d430e749668	f96f23ec-83f2-1014-ad76-8d430e749668			James D Pearce et al.	12	A Cross-Species Generative Cell Atlas Across 1.5 Billion Years of Evolution: The TranscriptFormer Single-cell Model	local:f96f23ec-83f2-1014-ad76-8d430e749668
8	bioRxiv	biorxiv_0c424138_6e62_1014_af20_f8123674b4d1	0c424138-6e62-1014-af20-f8123674b4d1			Calvin Yeung et al.	4	A dataset of differentiable biologically-derived single neuron models	local:0c424138-6e62-1014-af20-f8123674b4d1
9	bioRxiv	biorxiv_013a7c23_7117_1014_9b42_823175dea768	013a7c23-7117-1014-9b42-823175dea768			Oceane Cassan et al.	19	A genome-wide, machine learning-guided exploration of the cis-regulatory code involved in neuronal differentiation	local:013a7c23-7117-1014-9b42-823175dea768
10	bioRxiv	biorxiv_e3312584_7421_1014_b0a7_823d4471ccf1	e3312584-7421-1014-b0a7-823d4471ccf1			Lina Kroehling et al.	7	A highly resolved integrated single-cell atlas of HPV-negative head and neck cancer	local:e3312584-7421-1014-b0a7-823d4471ccf1
